price,price_per_meter,floor,rooms,repair_type,total_area,distance_to_center,district,house_build_year,house_type,balcony_number,bathroom_many,separate_bathroom,first_floor,geo_lat,geo_lon
17700000,159459,10,3,8,111,2018,Центр: Дом печати,2009,7,1,0,1,0,57.15991157,65.5623465
17200000,165385,6,3,7,104,1417,Центр: Драмтеатр,2012,4,0,1,1,0,57.15141258,65.56463696
17000000,159624,14,3,8,106.5,3450,Студгородок,2019,5,2,1,1,0,57.158096,65.596219
16950000,169500,7,3,8,100,3444,Тюменский-3,2016,7,0,0,1,0,57.11391157,65.5546115
16500000,165000,2,3,7,100,1313,Центр: Исторический,2009,7,0,0,1,0,57.15618229,65.54588013
16198000,175114,2,3,8,92.5,2784,КПД,2019,5,0,0,1,0,57.141295,65.590720
15800000,163900,5,3,2,96.4,3000,Европейский мкр.,2020,4,0,0,1,0,57.170936,65.553650
15000000,166852,2,3,7,89.9,4228,2-й Заречный мкр.,2010,7,1,0,1,0,57.18146559,65.56024419
15000000,177515,12,2,8,84.5,501,Центр: Драмтеатр,2018,7,2,0,0,0,57.13992759,65.5458981
15000000,152749,13,3,2,98.2,4859,Ново-Патрушево,2019,4,1,0,0,0,57.1017831,65.5622829
14800000,161220,10,3,8,91.8,3010,КПД,2020,5,0,1,0,0,57.141757,65.594577
14800000,150866,4,3,8,98.1,2604,Червишевский тракт,2007,7,2,0,1,0,57.12621107,65.5180775
14740000,165618,5,3,8,89,5815,МЖК,2020,7,1,0,1,0,57.09840141,65.59053539
14600000,157328,8,3,7,92.8,5179,Ново-Патрушево,2018,3,1,0,1,0,57.099182,65.565074
14550000,169186,7,3,8,86,2633,Заречный,2021,5,0,1,1,0,57.165949,65.563020
14500000,175545,4,2,2,82.6,675,Центр: Драмтеатр,2023,6,1,0,1,0,57.148473,65.553354
14250000,145260,11,3,5,98.1,2621,6 Микрорайон,2019,7,1,0,1,0,57.12356307,65.565203
14150000,153804,9,3,6,92,764,Центр: Городская администрация,2015,7,1,0,1,0,57.146613,65.533142
14000000,132075,6,3,7,106,1187,Центр: Городская администрация,2007,7,1,0,1,0,57.15148607,65.530456
14000000,169287,8,3,6,82.7,3531,Тюменский-3,2014,4,0,0,1,0,57.1137605,65.56007351
14000000,166667,10,2,8,84,5366,Ново-Патрушево,2017,5,0,1,0,0,57.098456,65.571770
14000000,160920,5,2,7,87,1582,Центр: Исторический,2003,7,1,0,1,0,57.15857423,65.543284
14000000,140281,13,3,8,99.8,5239,Ново-Патрушево,2017,3,2,0,1,0,57.099246,65.569376
14000000,135922,7,3,5,103,3618,3-й Заречный мкр.,2008,7,1,0,0,0,57.17466457,65.56686478
13900000,169512,7,2,7,82,2524,6 Микрорайон,2015,7,0,0,1,0,57.12415407,65.5638195
13897000,147840,6,2,7,94,1540,Центр: Драмтеатр,2019,7,0,0,1,0,57.154698,65.562074
13850000,173125,8,3,8,80,3934,3-й Заречный мкр.,2010,7,0,0,1,0,57.17756272,65.56748462
13800000,168704,6,2,7,81.8,1004,Центр: Городская администрация,2015,7,1,1,0,0,57.149416,65.531313
13800000,169533,14,3,7,81.4,2696,Заречный,2019,4,1,0,1,0,57.167521,65.558331
13790000,140714,9,2,7,98,402,Центр: Драмтеатр,2004,7,0,0,0,0,57.14114853,65.54798219
13600000,152809,9,3,7,89,1347,Центр: Городская администрация,2016,6,0,0,1,0,57.150978,65.526412
13500000,160333,1,3,8,84.2,3005,КПД,2015,4,2,1,0,1,57.139605,65.593940
13500000,147702,5,3,7,91.4,65,Центр: Драмтеатр,2005,7,1,0,1,0,57.144982,65.545027
13500000,128083,6,3,5,105.4,2332,Центр: Дом печати,2012,7,0,0,1,0,57.1558064,65.577411
13480000,168500,10,3,8,80,5842,МЖК,2016,7,2,1,1,0,57.09753599,65.58844231
13200000,169014,3,3,7,78.1,1054,Центр: Исторический,1999,7,0,0,1,0,57.15306307,65.5521055
13000000,147727,9,3,2,88,5815,МЖК,2020,7,1,1,1,0,57.09840141,65.59053539
13000000,158343,1,3,7,82.1,5411,Дударева,2021,5,2,1,1,1,57.119185,65.468724
13000000,144605,3,3,7,89.9,2784,КПД,2019,5,0,0,1,0,57.141295,65.590720
12900000,119444,5,3,7,108,4411,Плеханова,2017,7,1,0,1,0,57.1346104,65.4744962
12850000,120093,3,3,1,107,4064,Воровского,2022,4,0,0,1,0,57.123455,65.600052
12800000,160000,6,2,2,80,2784,КПД,2019,5,0,1,1,0,57.141295,65.590720
12800000,173442,3,2,7,73.8,2978,Европейский мкр.,2015,4,1,1,1,0,57.17048283,65.55593228
12800000,153293,8,3,2,83.5,2744,Европейский мкр.,2023,4,1,1,1,0,57.168467,65.554818
12770000,155732,5,3,7,82,3242,Европейский мкр.,2011,4,1,0,1,0,57.171503,65.564646
12700000,147503,2,2,2,86.1,1588,Центр: Исторический,1997,7,1,1,1,0,57.15781273,65.53616934
12550000,150660,8,3,2,83.3,2744,Европейский мкр.,2023,4,0,0,1,0,57.168467,65.554818
12550000,131139,10,3,7,95.7,1852,Центр: Драмтеатр,2009,7,2,0,1,0,57.14515781,65.57565928
12500000,121359,3,3,5,103,3405,5-й Заречный мкр.,2022,7,1,1,1,0,57.167972,65.580944
12500000,164474,13,3,7,76,3881,5-й Заречный мкр.,2021,4,2,1,1,0,57.165320,65.596383
12500000,136612,10,3,4,91.5,1852,Центр: Драмтеатр,2009,7,1,0,1,0,57.14515781,65.57565928
12500000,115955,6,2,3,107.8,6299,МЖК,2023,5,1,0,1,0,57.094935,65.595521
12450000,144767,9,2,4,86,4786,ДОК,2020,4,0,1,1,0,57.185479,65.5218377
12350000,116730,15,3,2,105.8,3124,КПД,2016,5,1,0,1,0,57.140903,65.596296
12300000,126804,2,3,8,97,4855,Ново-Патрушево,2020,3,1,1,1,0,57.10180907,65.5622295
12300000,151852,2,3,7,81,3124,КПД,2016,5,2,1,1,0,57.140903,65.596296
12290000,155373,17,3,8,79.1,5780,МЖК,2018,4,0,1,1,0,57.098241,65.588723
12200000,120792,7,3,8,101,4697,Югра,2011,7,0,0,1,0,57.18544609,65.56293016
12200000,109910,12,3,6,111,4379,Тюменский-2,2011,7,1,1,1,0,57.107641,65.570746
12150000,159868,8,3,8,76,6046,МЖК,2014,4,1,1,1,0,57.09611314,65.59073302
12150000,145509,13,3,6,83.5,3531,Тюменский-3,2014,4,1,0,1,0,57.11376,65.560074
12100000,142353,5,3,2,85,2890,Европейский мкр.,2019,5,0,1,0,0,57.168897,65.560886
12055000,113726,2,3,7,106,4271,Плеханова,2015,7,0,0,1,0,57.135283,65.476575
12000000,162162,5,2,8,74,1564,Центр: Исторический,2018,7,0,0,1,0,57.15494207,65.5280305
12000000,173661,13,2,8,69.1,5665,МЖК,2017,4,1,0,1,0,57.099247,65.588164
12000000,172414,1,2,2,69.6,5647,Комарово парк,2023,7,1,0,1,1,57.107656,65.480842
